name,total_fights,wins,finishes,ko/tko_wins,submisson_wins,decision_wins,win_streak,title_fight_wins,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,win_rate
Ovince Saint Preux,43,26,20,12,8,6,0,0,848,1802,24,63,2.71,3.14,1.15,0.53,46,67,0.43,09.30,576,78,164,530,234,84,60.4651162791
Philipe Lins,22,17,13,9,4,4,3,0,174,376,5,14,3.59,3.73,1.55,0.00,45,100,0.31,09.42,145,25,4,104,48,22,77.2727272727
Max Grishin,44,32,22,16,6,10,0,0,228,433,1,6,3.26,2.27,0.21,0.00,59,67,0.43,14.00,186,24,18,96,45,87,72.7272727273
William Knight,16,11,9,9,0,2,0,0,286,502,8,32,2.62,3.30,1.78,0.41,36,48,0.27,12.08,139,54,93,188,39,59,68.75
Marchin Prachino,23,16,11,11,0,5,0,0,401,723,0,4,5.39,3.25,0.00,0.00,54,55,0.20,09.18,346,54,1,108,124,169,69.5652173913
Vitor Petrino,10,10,7,7,0,3,10,0,133,273,7,17,3.07,2.65,4.15,1.04,44,68,0.69,10.50,90,3,40,104,24,5,100
Anton Turkalj,11,8,7,5,2,1,0,0,53,118,16,31,1.72,2.48,6.55,0.00,50,17,0.00,09.10,45,9,9,35,11,17,72.7272727273
Tyson Pedro,14,10,10,5,5,0,1,0,199,325,4,11,3.11,2.53,0.94,0.94,55,53,1.17,06.24,143,37,19,107,53,39,71.4285714286
Modestas Bukauskas,21,15,11,9,2,4,0,0,215,522,0,1,3.28,3.87,0.00,0.00,50,71,0.00,09.22,188,26,1,147,45,23,71.4285714286
Zac Pauga,9,7,2,2,0,5,0,0,158,252,1,11,4.44,2.72,0.42,0.00,58,100,0.00,11.52,110,46,2,80,55,23,77.7777777778
Mohammed Usman,13,11,6,4,2,5,4,0,104,260,3,16,2.92,3.96,1.26,0.00,52,0,0.42,11.55,94,4,6,75,29,0,84.6153846154
Zhang Weili,27,24,19,11,8,5,3,4,738,1421,19,45,5.94,3.44,2.29,0.36,54,67,0.36,12.25,464,60,214,423,117,198,88.8888888889
Amanda Lemos,17,13,11,8,3,2,0,0,325,588,5,9,3.54,4.66,0.82,0.82,43,56,0.82,09.11,235,50,40,210,72,43,76.4705882353
Marina Rodriguez,22,17,7,6,1,10,1,0,871,1786,3,7,4.77,2.89,0.25,0.16,56,66,0.16,14.03,557,233,81,471,233,167,77.2727272727
Michelle Waterson-Gomez,30,18,12,3,9,6,0,0,791,1698,21,65,3.56,4.19,1.42,0.68,50,70,0.00,13.53,558,149,84,364,226,201,60
Luana Pinheiro,13,11,7,2,5,4,0,0,198,475,7,20,3.89,4.83,2.36,0.29,63,67,0.59,10.11,167,19,12,121,45,32,84.6153846154
Sam Hughes,13,8,5,2,3,3,1,0,356,762,7,17,3.79,4.23,1.12,0.00,54,58,0.00,13.25,239,51,66,264,50,42,61.5384615385
Piera Rodriguez,10,9,5,5,0,4,0,0,188,401,12,29,3.46,2.98,3.31,0.00,57,67,0.00,13.35,115,58,12,92,80,16,90
Kay Hansen,13,7,6,2,4,1,0,0,173,343,7,31,3.01,3.19,1.83,0.78,52,38,0.00,14.22,136,20,17,116,43,14,53.8461538462
Alexa Grasso,20,16,6,4,2,10,5,1,846,1963,5,11,4.67,3.95,0.41,0.58,59,59,0.08,15.06,680,139,27,526,166,154,80
Viviane Araujo,17,12,7,3,4,5,1,0,676,1423,19,41,4.34,5.19,1.83,0.67,56,78,0.10,15.35,645,12,19,501,104,71,70.5882352941
Jennifer Maia,32,21,9,4,5,12,0,0,781,2022,5,18,4.35,4.52,0.42,0.08,56,59,0.00,14.57,664,111,6,565,110,106,65.625
Casey O'Neill,10,9,5,3,2,4,0,0,538,964,8,19,8.77,5.90,1.96,0.73,58,71,0.00,12.16,427,24,87,426,76,36,90
Roxanne Modafferi,46,25,9,4,5,16,0,0,668,2179,18,77,3.35,5.70,1.35,0.08,51,30,0.08,14.14,548,62,58,537,81,50,54.347826087
Taila Santos,22,19,13,10,3,6,0,0,406,845,16,21,3.39,2.64,2.00,1.13,58,86,0.38,14.59,301,48,57,223,68,115,86.3636363636
Erin Blanchfield,13,12,6,2,4,6,9,0,351,665,12,33,5.58,3.32,2.86,1.19,62,83,0.00,10.29,218,34,99,255,56,40,92.3076923077
Jessica Andrade,37,25,18,10,8,7,1,0,1591,3132,39,71,6.67,5.36,2.45,0.38,55,72,0.44,09.11,1100,296,195,1021,358,212,67.5675675676
Mackenzie Dern,17,13,7,0,7,6,0,0,548,1355,8,57,3.49,4.21,0.77,1.43,51,40,0.19,13.04,387,64,97,414,81,53,76.4705882353
Angela Hill,29,16,6,5,1,10,1,0,1896,3783,17,50,5.44,4.94,0.73,0.09,61,76,0.13,14.31,1380,453,63,1136,594,166,55.1724137931
Denise Gomes,11,8,6,6,0,2,0,0,255,524,4,12,4.81,3.66,1.13,0.85,49,47,0.57,10.36,169,49,37,140,45,70,72.7272727273
Anthony Smith,55,37,33,19,14,4,1,0,735,1517,8,28,3.16,4.45,0.52,0.65,46,49,0.45,09.55,629,65,41,459,134,142,67.2727272727
Ryan Spann,30,21,18,6,12,3,0,0,239,589,6,17,3.42,3.91,1.29,1.50,45,48,1.29,05.22,172,19,48,189,43,7,70
Nikita Krylov,39,30,28,12,16,2,3,0,546,979,19,50,4.38,2.47,2.29,1.44,45,53,0.60,06.56,279,145,122,351,128,64,76.9230769231
Shavkat Rakhmonov,18,18,18,8,10,0,18,0,179,303,2,12,4.45,2.61,1.49,1.49,54,100,0.37,08.03,108,46,25,117,54,8,100 
Li Jingliang,27,19,14,10,4,5,0,0,805,1883,8,36,4.46,3.84,1.25,0.00,58,60,0.83,10.37,695,40,70,464,104,237,70.3703703704
Gilbert Burns,28,22,15,6,9,7,0,0,855,1760,33,92,3.36,3.34,1.995,0.53,55,48,0.24,12.06,638,80,137,510,179,166,78.5714285714
Kevin Holland,35,25,21,14,7,4,0,0,1020,2070,12,31,4.39,3.22,0.78,0.52,52,53,0.32,11.04,809,102,109,559,198,263,71.4285714286

